d,cognome,nome,legislatura,gruppoParlamentare
http://dati.camera.it/ocd/deputato.rdf/d13650_3,ROMAGNOLI,LUCIANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13820_2,REPOSSI,CARLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13820_3,REPOSSI,CARLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13990_1,CIUFOLI,DOMENICO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d14000_1,BELLIARDI,CHIAFFREDO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d14010_3,CRUCIANI,ACHILLE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d14030_2,LOZZA,STELLIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d14040_1,CLERICI,EDOARDO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d140_2,ALMIRANTE,GIORGIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d14140_0,TOGLIATTI,PALMIRO,http://dati.camera.it/ocd/legislatura.rdf/costituente,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d14140_1,TOGLIATTI,PALMIRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d14140_2,TOGLIATTI,PALMIRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d14140_3,TOGLIATTI,PALMIRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d14180_2,CANTALUPO,ROBERTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d14180_2,CANTALUPO,ROBERTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d14260_3,DE GRADA,RAFFAELE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d14360_3,RESTIVO,FRANCESCO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d14600_11,BARBERA,AUGUSTO ANTONIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d14890_10,CAPRIA,NICOLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d14890_11,CAPRIA,NICOLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15080_14,CICCHITTO,FABRIZIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,MEMBRO DEL C.D.
