nome,cognome,legislatura,incarico
GUGLIELMO,SCHIRATTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
RAFFAELE,MERLONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
LUIGI,CHATRIAN,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
GUIDO,MAZZALI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
GUIDO,MAZZALI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
CESARE,DAMI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
CESARE,DAMI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
FRANCESCO,FERRARI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
PIETRO,GERMANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
PIETRO,GERMANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
PIETRO,GERMANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,PRESIDENTE
