persona,nome,cognome,gender
http://dati.camera.it/ocd/persona.rdf/p12640,GUIDO,BERNARDI,male
http://dati.camera.it/ocd/persona.rdf/p12650,GIUSEPPE,FERRANDI,male
http://dati.camera.it/ocd/persona.rdf/p12660,MICHELE,DE CAPUA,male
http://dati.camera.it/ocd/persona.rdf/p12670,ALBERTO,CAVALIERE,male
http://dati.camera.it/ocd/persona.rdf/p12690,NICOLA,LA GRAVINESE,male
http://dati.camera.it/ocd/persona.rdf/p12700,UMBERTO,CALOSSO,male
http://dati.camera.it/ocd/persona.rdf/p1270,GIUSEPPE,CALABRO',male
http://dati.camera.it/ocd/persona.rdf/p12710,GIUSEPPE,DE FALCO,male
http://dati.camera.it/ocd/persona.rdf/p12740,ALDOVINO,FORA,male
http://dati.camera.it/ocd/persona.rdf/p12750,ALFREDO,COTANI,male
http://dati.camera.it/ocd/persona.rdf/p12760,EZIO,COPPA,male
http://dati.camera.it/ocd/persona.rdf/p12780,LETTERIO,LA SPADA,male
http://dati.camera.it/ocd/persona.rdf/p12790,DINO,PENAZZATO,male
http://dati.camera.it/ocd/persona.rdf/p12800,LUIGI,CACCIATORE,male
http://dati.camera.it/ocd/persona.rdf/p12810,VINCENZO,SELVAGGI,male
http://dati.camera.it/ocd/persona.rdf/p12840,GIULIO,MARAZZINA,male
http://dati.camera.it/ocd/persona.rdf/p12850,GIOVANNI,CASO,male
http://dati.camera.it/ocd/persona.rdf/p12870,COSTANTE,BIANCHI,male
http://dati.camera.it/ocd/persona.rdf/p12890,MASSIMO,DEL FANTE,male
http://dati.camera.it/ocd/persona.rdf/p12900,ANTONIO,DI DONATO,male
http://dati.camera.it/ocd/persona.rdf/p12910,GUIDO,MUSSINI,male
http://dati.camera.it/ocd/persona.rdf/p12930,RAFFAELE,RESTA,male
http://dati.camera.it/ocd/persona.rdf/p12940,BRUTO,PUCCETTI,male
http://dati.camera.it/ocd/persona.rdf/p12970,GIOVANNI,PALAZZOLO,male
http://dati.camera.it/ocd/persona.rdf/p12980,ENRICO,SPARAPANI,male
http://dati.camera.it/ocd/persona.rdf/p12990,FIORENZO,CIMENTI,male
http://dati.camera.it/ocd/persona.rdf/p13000,LUDOVICO,SICIGNANO,male
http://dati.camera.it/ocd/persona.rdf/p13010,FRANCESCO,CAROLEO,male
http://dati.camera.it/ocd/persona.rdf/p13020,FERNANDO,SANTI,male
http://dati.camera.it/ocd/persona.rdf/p13030,GIUSEPPE,RICCI,male
http://dati.camera.it/ocd/persona.rdf/p13040,GUGLIELMO,SCHIRATTI,male
http://dati.camera.it/ocd/persona.rdf/p13050,RAFFAELE,MERLONI,male
http://dati.camera.it/ocd/persona.rdf/p13060,ALBERTO,CONSIGLIO,male
http://dati.camera.it/ocd/persona.rdf/p13070,ALDO ENZO,PIGNATARI,male
http://dati.camera.it/ocd/persona.rdf/p13080,GINO,PIERI,male
http://dati.camera.it/ocd/persona.rdf/p13090,QUINTO,BUCCI,male
http://dati.camera.it/ocd/persona.rdf/p13100,VINCENZO,SANGALLI,male
http://dati.camera.it/ocd/persona.rdf/p13110,LUIGI,CHATRIAN,male
http://dati.camera.it/ocd/persona.rdf/p13120,UGO,RODINO',male
http://dati.camera.it/ocd/persona.rdf/p13130,ANGELO,CORSI,male
http://dati.camera.it/ocd/persona.rdf/p13150,GUIDO,MAZZALI,male
http://dati.camera.it/ocd/persona.rdf/p13160,CESARE,DAMI,male
http://dati.camera.it/ocd/persona.rdf/p13170,EMILIO,ZANNERINI,male
http://dati.camera.it/ocd/persona.rdf/p13180,MARIO,CERAVOLO,male
http://dati.camera.it/ocd/persona.rdf/p13190,PIETRO,REALI,male
http://dati.camera.it/ocd/persona.rdf/p13210,OTELLO,MAGNANI,male
